Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-EW-A1P5-01A-11R-A144-07,0.0452760589693844,0.00450040855498136,0,0.0540676889044895,0,0.267731351918367,0.0441372738680723,0.1032418303252,0.0741205009037424,0,0.060696514137357,0,0.0067067129857344,0.295192362678452,0.0821682370575468,0.329825261911111,0.0052195370330964,0.0376044840732743,0.0805638603449715,0,0,0.0242549984848284,0,0.7000371050531,0.763102549072716,1.51530708215061
TCGA-EW-A1OY-01A-11R-A144-07,0.0948102040771413,0,0.0522100694835558,0.0834285414394392,0,0.244484147391725,0,0.0658259049602784,0.0895053436971737,0,0.033385099903043,0,0.0105813194542746,0.160993665934818,0.154003983099184,0.14876363488531,0.0128671997641715,0,0.0249634774495516,0.00538160396341366,0,0.00466473952040912,0.016,0.269818809536138,0.978058578426018,1.18586893502349
TCGA-B6-A0RL-01A-11R-A084-07,0.00869351125655788,0.0256483177537216,0.03222558386508,0.0345527913785397,0,0.0264299708597793,0,0.0494748026794598,0.0160770067862569,0,0.00672965855354396,0.00234127384343959,0.0015879337364036,0.12414664389087,0.0269150378612224,0.16236424799168,0.00411311753586411,0.0251482372428557,0.0243746314171714,0,0.00787167230398334,0.00527350474186591,0,0.547812523168337,0.84351517986886,0.583967943698295
TCGA-S3-A6ZH-01A-22R-A32P-07,0.0418694368482169,0,0.119398783832475,0.103076066181078,0,0.0729122987046411,0.00479127432524866,0.0587804046068237,0.0932509212747459,0,0,0.022807306580045,0.0139790181967006,0.0740158319205915,0.115242440236356,0.122116214008567,0.0722127886667093,0.0192867671294036,0.17705080371206,0,0,0.00170733590895488,0,0.615334079182497,0.817544555482056,1.11249769213262
TCGA-EW-A1J1-01A-11R-A13Q-07,0.0527509749807201,0,0.0647597802203887,0.154538903623814,0,0.331466626113568,0.0178307139260878,0.102439688017208,0.065202126526913,0,0.0461499624792895,0,0.0107193080686111,0.165839461303521,0.145414974442567,0.219180150327338,0.0308201093226465,0,0.047286436137877,0,0,0.00754350180743044,0.004,0.449306445975034,0.892601349513752,1.46194271729798
TCGA-BH-A6R8-01A-21R-A33J-07,0.0618235598510178,0,0.0276509226774933,0.127944058686743,0,0.0612620836327833,0.015554042381884,0.151652864968598,0.153946072217071,0,0.0183931371226683,0.0108759130809602,0.0201612796910568,0.342871856915817,0.109307139748157,0.255418678787372,0,0,0.124630565134621,0,0,0.00888416164388935,0,0.623263762209405,0.804268465881196,1.49037633654013
TCGA-AR-A24P-01A-11R-A169-07,0.17969778496085,0,0.0913732278542756,0.060223457598267,0,0.256258963736342,0.0172836413797432,0.0624303068311109,0.0270220383834029,0,0.0337086636135765,0,0.0969164810749456,0.108012104052105,0.0815795593183631,0.176789122950955,0.0146551975925498,0.0189111641564512,0.0428964500789446,0.0100258319963026,0,0.00300725209662521,0.002,0.500431707912155,0.870223475251227,1.28079124767481
TCGA-A2-A1FW-01A-11R-A13Q-07,0.0814163031584821,0,0.0311889449631781,0.0802867917483235,0,0.414833516491148,0.011706888146057,0.0410975191179409,0.0126487081820569,0,0.0103570695017091,0.00356915611877514,0.0244407374629084,0.0329348263811786,0.120156142571763,0.209551211634507,0.0180316250284797,0,0.081085707945319,0,0,0.00490396051897635,0.00800000000000001,0.360802775081817,0.934886318782869,1.1782091089708
TCGA-EW-A2FS-01A-11R-A17B-07,0.108432754715542,0.110696956089412,0.290704674795991,0.295605493819387,0,0.325004309993469,0,0.264885455191563,0.12572897827204,0.0442082510148819,0,0.0413182907151847,0.0225506731016863,0.137098304706449,0.195311463372323,0.204835531295959,0.0794618272596727,0,0.0236265805804585,0.0182165428722512,0.0150361019643306,0,0.01,0.334631362898383,0.94917141590868,2.3027221897606
TCGA-BH-A0B8-01A-21R-A056-07,0.0605616231598906,0,0.0213777316555081,0.0492512436499752,0,0.194555644016003,0.00583702217224331,0.0451255743408329,0.0245637258366946,0,0,0.00475761837923922,0.0427021210484541,0.0364437466502299,0.0625511171492324,0.161433198732085,0.0344444521979456,0.00432452955153122,0.0889955419846996,0.00313002453261874,0,0.000973932279328043,0,0.592146732122214,0.829211608078046,0.841028847336511
TCGA-AR-A1AS-01A-11R-A12P-07,0.0355097727652062,0,0.00310033473834339,0.0168434430838783,0,0.0861572281973565,0,0.0163483603472259,0.00651040650202034,0,0.0295401544315437,0,0,0.354247434446313,0.0252598977608632,0.250245718878741,0.000149610317991981,0,0.0178179556845386,0.0462461002911042,0,0.0177650423751613,0,0.808230632562562,0.644266774832506,0.905741459820288
TCGA-B6-A0WW-01A-11R-A109-07,0.0491472807801178,0,0.0454057877564863,0.0385821688907072,0,0.158932467615228,0.022201708175331,0.0932139226172334,0.0375093062130725,0,0.0215956687337973,0,0.010316383325074,0.112493108749323,0.104002270569249,0.13945708604515,0.00372866412144624,0.0016180546306816,0.0833292639172045,0,0,0.00429517260011148,0,0.566252857552809,0.83762868110467,0.925828314740213
TCGA-E2-A109-01A-11R-A10J-07,0.238783778060682,0,0.170350594361141,0.103311215366092,0,0.32312298424448,0,0.0721868609644523,0.102483415675672,0,0.0109247364095301,0,0,0.259254704822809,0.117567518696849,0.156712097007763,0.00441368146706139,0,0.0881263558570454,0,0,0,0.002,0.481976125356828,0.876392005306698,1.64723794293358
TCGA-BH-A0BJ-01A-11R-A056-07,0.179962867376501,0,0.159893002232967,0.158602047184795,0,0.315651482803551,0,0.0668730578987434,0.117226574996542,0,0.0388210070216441,0,0.0174270567406827,0.231682081285046,0.0786138036461218,0.183973265112566,0.0233029094646574,0,0.106264348012389,0.0129677621809441,0,0,0,0.528369195249308,0.854868773459078,1.69126126595715
TCGA-LL-A7T0-01A-31R-A352-07,0.0627080547330972,0,0.136462847924991,0.208932455813529,0,0.191784365157907,0.0183019140226021,0.133260093508785,0.13097124686902,0,0.0133195015425618,0.00114773289432092,0,0.290298794179943,0.116557243125121,0.222049725796643,0.0143036932057119,0,0.0490561233773885,0,0,0.00353112016443913,0.01,0.336492823827804,0.946208663195678,1.59268491231606
TCGA-GM-A2DL-01A-11R-A18M-07,0.0121185396726411,0.0176435241003092,0.0384716583139227,0.0327386252238254,0,0.131488158814426,0.00114946160269287,0.0557253430091839,0.0440498126122919,0,0,0.019276312568303,0,0.150324559379523,0.0539014152894036,0.313591451720618,0.0550330045142206,0.0305386085781676,0.0665470794332043,0,0.0115075085354186,0.00628930970273641,0,0.800922281916896,0.710478978392607,1.04039437307089
